seed,horizon_frames,method,pair,band,n_low,n_high,phase_error_degrees,absolute_coherence_change
baseline,4,persistence,Ne-phi,k1_3,5,15,0.3493490691778224,0.0033080867177785545
baseline,4,persistence,Pe-phi,k1_3,5,15,0.46354325271134217,0.0037658284727541207
baseline,4,persistence,Pi-phi,k1_3,5,15,0.37709322103106563,0.004123246558612783
baseline,4,persistence,Ne-phi,k4_5,20,25,0.18802076523343525,0.004904939178337259
baseline,4,persistence,Pe-phi,k4_5,20,25,0.24775274258121138,0.005817720709208979
baseline,4,persistence,Pi-phi,k4_5,20,25,0.25048376922383025,0.004340793602824819
baseline,4,persistence,Ne-phi,k6_7,30,35,0.07892607550718825,0.0011777070177748101
baseline,4,persistence,Pe-phi,k6_7,30,35,0.07789050471813147,0.001780342997285494
baseline,4,persistence,Pi-phi,k6_7,30,35,0.09981284907539263,0.0018915231799053471
1701,4,autoregressive_lead1,Ne-phi,k1_3,5,15,6.012737426948817,0.019759874669755945
1701,4,autoregressive_lead1,Pe-phi,k1_3,5,15,6.760993388487033,0.04271380924672776
1701,4,autoregressive_lead1,Pi-phi,k1_3,5,15,4.092459689817944,0.03419823752443049
1701,4,autoregressive_lead1,Ne-phi,k4_5,20,25,1.6703976103332463,0.0978768562377296
1701,4,autoregressive_lead1,Pe-phi,k4_5,20,25,4.729550367167372,0.15810993145252075
1701,4,autoregressive_lead1,Pi-phi,k4_5,20,25,3.0077350895611072,0.08188333022756684
1701,4,autoregressive_lead1,Ne-phi,k6_7,30,35,10.906089813989547,0.2417248870200042
1701,4,autoregressive_lead1,Pe-phi,k6_7,30,35,9.832945045287543,0.10656668352880151
1701,4,autoregressive_lead1,Pi-phi,k6_7,30,35,8.978273484161699,0.19608893037591177
1702,4,autoregressive_lead1,Ne-phi,k1_3,5,15,4.323344297969124,0.029057277144329048
1702,4,autoregressive_lead1,Pe-phi,k1_3,5,15,6.2266438437360145,0.0280322292199429
1702,4,autoregressive_lead1,Pi-phi,k1_3,5,15,3.6880967078021594,0.04432002436421711
