seed,horizon_frames,method,field,band,n_low,n_high,power_ratio,truth_power_weighted_transfer_coherence
baseline,4,persistence,Ne,k1_3,5,15,1.0012857935230126,0.019981277877586617
baseline,4,persistence,Pe,k1_3,5,15,0.9875287148750616,0.023287416583496607
baseline,4,persistence,Pi,k1_3,5,15,0.9919518122579076,0.02575620907818768
baseline,4,persistence,phi,k1_3,5,15,0.9832198385668001,0.06635662535430861
baseline,4,persistence,Vi,k1_3,5,15,0.9934538403965929,0.0015353467306132211
baseline,4,persistence,Ne,k4_5,20,25,0.9668295101982696,0.05496256023455825
baseline,4,persistence,Pe,k4_5,20,25,0.9680004048157829,0.06687761687570035
baseline,4,persistence,Pi,k4_5,20,25,0.9702203582686064,0.0571115041440867
baseline,4,persistence,phi,k4_5,20,25,0.9609953897561093,0.050416059914410255
baseline,4,persistence,Vi,k4_5,20,25,0.9738971124153264,0.005938074191164046
baseline,4,persistence,Ne,k6_7,30,35,1.0032527700369653,0.0012282601679260007
baseline,4,persistence,Pe,k6_7,30,35,1.003870561051753,0.0042987551534570565
baseline,4,persistence,Pi,k6_7,30,35,1.0054599283351258,0.002992338751632204
baseline,4,persistence,phi,k6_7,30,35,1.001581986491903,0.0016176230857327932
baseline,4,persistence,Vi,k6_7,30,35,0.9974680195169909,0.0002659085253322345
1701,4,autoregressive_lead1,Ne,k1_3,5,15,0.8231303330263954,0.2544680362664306
1701,4,autoregressive_lead1,Pe,k1_3,5,15,0.7647806925151801,0.22122166871859178
1701,4,autoregressive_lead1,Pi,k1_3,5,15,0.6482005005619708,0.22278499940036395
1701,4,autoregressive_lead1,phi,k1_3,5,15,0.6382743125977306,0.29788469543918483
1701,4,autoregressive_lead1,Vi,k1_3,5,15,0.36617804330383324,0.18092091849226913
1701,4,autoregressive_lead1,Ne,k4_5,20,25,1.7131702831368802,0.3962939010752274
1701,4,autoregressive_lead1,Pe,k4_5,20,25,1.324323109269331,0.41388499633324466
1701,4,autoregressive_lead1,Pi,k4_5,20,25,1.4113020214543253,0.3979438883630428
1701,4,autoregressive_lead1,phi,k4_5,20,25,1.5045447434683876,0.397011743385547
1701,4,autoregressive_lead1,Vi,k4_5,20,25,0.5184517331958028,0.07474040341458457
1701,4,autoregressive_lead1,Ne,k6_7,30,35,0.5950271567032902,0.003250328734092451
1701,4,autoregressive_lead1,Pe,k6_7,30,35,0.39184733821563017,0.007414014990158161
1701,4,autoregressive_lead1,Pi,k6_7,30,35,0.3642254407521934,0.00635078752102486
1701,4,autoregressive_lead1,phi,k6_7,30,35,0.47107578562875896,0.002126652257596512
1701,4,autoregressive_lead1,Vi,k6_7,30,35,0.2733020248094679,3.108875528993495e-05
1702,4,autoregressive_lead1,Ne,k1_3,5,15,0.5788708095348909,0.27181086862203097
1702,4,autoregressive_lead1,Pe,k1_3,5,15,0.5926461397774231,0.21814118156616485
1702,4,autoregressive_lead1,Pi,k1_3,5,15,0.4862953676886258,0.22458077089776252
