seed,horizon_frames,horizon_microseconds,horizon_decorrelation_times,method,mean_field_rmse,mean_field_persistence_relative_skill,Ne_skill,Pe_skill,Pi_skill,phi_skill,Vi_skill
1701,4,12.527621705410544,1.7825311942959,autoregressive_lead1,0.1293266375069708,0.47875595067835,0.4497316269649011,0.4425423445481923,0.441458502191456,0.5517452567322463,0.47802576830059895
1702,4,12.527621705410544,1.7825311942959,autoregressive_lead1,0.12268250064300915,0.5323569555307586,0.4761931420686072,0.5269677626488347,0.5340338440093497,0.5956234659056598,0.48551951133742155
1703,4,12.527621705410544,1.7825311942959,autoregressive_lead1,0.1255890302082025,0.5101308454446605,0.44667043129201767,0.48892161911959076,0.49672933411157316,0.5921193325814751,0.475612020440909
1701,4,12.527621705410544,1.7825311942959,autoregressive_lead2,0.1251682931300442,0.5127916098589078,0.45622306230318477,0.5104797852446525,0.5078809505113331,0.5643122319432674,0.4877536300100599
1702,4,12.527621705410544,1.7825311942959,autoregressive_lead2,0.1265514742149723,0.5020950343158679,0.44835454759505133,0.4816426964093399,0.4873299888961733,0.568654271138704,0.48319115168188687
1703,4,12.527621705410544,1.7825311942959,autoregressive_lead2,0.1278341769854506,0.4921812259803855,0.42956689973221984,0.46638689185549276,0.4718445479863932,0.5688244718786323,0.477052026019933
1701,4,12.527621705410544,1.7825311942959,direct,0.13430789454715314,0.43974602881214775,0.36089102938276263,0.4313795216678842,0.4432754042675018,0.4996377435551126,0.4117853810262939
1702,4,12.527621705410544,1.7825311942959,direct,0.13383018766014754,0.4434623993438588,0.36919490455595816,0.43312221763044534,0.4478809848980524,0.49157223728008737,0.42887966422625756
1703,4,12.527621705410544,1.7825311942959,direct,0.13410896423110416,0.44140197586985075,0.357342932908703,0.4328532595772001,0.44402279923852883,0.49465443380222407,0.4268916913950688
1701,8,25.055243410821088,3.5650623885918,autoregressive_lead1,0.18938310086298682,0.15811190707841938,0.18389131825892102,-0.021241831626471974,-0.02516790903943189,0.2923909904621492,0.2252653135969641
1702,8,25.055243410821088,3.5650623885918,autoregressive_lead1,0.17368556062289522,0.3015067312895158,0.23285356250108236,0.14322128267277523,0.16051526534804228,0.4753674455762933,0.2700531787457098
1703,8,25.055243410821088,3.5650623885918,autoregressive_lead1,0.17901266065829585,0.25371881951768116,0.21953348859798183,0.06612428681292193,0.08878742049993094,0.4137862459255005,0.2870482542163024
1701,8,25.055243410821088,3.5650623885918,autoregressive_lead2,0.16582378788448415,0.3552235255774121,0.3568501145775239,0.22893732756485174,0.23251976380365136,0.45209539008925215,0.4006486415929523
1702,8,25.055243410821088,3.5650623885918,autoregressive_lead2,0.16775279340822008,0.34311672415965366,0.33215601699155495,0.1525052781505558,0.1786313527568376,0.48645478531943687,0.40089962144977076
1703,8,25.055243410821088,3.5650623885918,autoregressive_lead2,0.172902488270597,0.30090382791050074,0.2969094427353772,0.09005250399337916,0.11830588766621042,0.44976682365390275,0.38246021751335035
1701,8,25.055243410821088,3.5650623885918,autoregressive_lead4,0.15593719908715292,0.4241059926365134,0.3881846559117045,0.42026367842001344,0.435068925738746,0.4287592192399873,0.42811362222431115
1702,8,25.055243410821088,3.5650623885918,autoregressive_lead4,0.1552347879042693,0.42973816059899783,0.3924959646429761,0.4163504629424013,0.4448219020365509,0.43587333961451913,0.4343049306190817
1703,8,25.055243410821088,3.5650623885918,autoregressive_lead4,0.15549763723110782,0.4288089287018053,0.3784388708733132,0.4140849588343838,0.4295407560703983,0.44315322315327055,0.44363307487489256
1701,8,25.055243410821088,3.5650623885918,direct,0.15830753469625422,0.4057534634257475,0.3570126268793734,0.4073494295943715,0.4325359365146172,0.40185649478949625,0.4133922036955846
1702,8,25.055243410821088,3.5650623885918,direct,0.15926127657925382,0.3969569409809728,0.3464837309619483,0.40851786704482596,0.43344763788673535,0.3813794664667065,0.4115544822760421
1703,8,25.055243410821088,3.5650623885918,direct,0.15694662911712834,0.41829021904185737,0.3508298143999018,0.4045260757336966,0.43298258800930767,0.42958375165022733,0.4333842635268853
