seed,horizon_frames,method,quantity,reduction,relative_l2,normalized_bias,rms_ratio,pearson_correlation,weighted_sign_disagreement
baseline,4,persistence,particle,strict_faces,1.3404298243749273,-0.00011815699756233939,0.9899926482607617,0.0923737770797746,0.4578578073604814
baseline,4,persistence,particle,separatrix,0.42038063964800426,-0.006968823367118362,0.9929264749178656,0.14063917720559393,0.0
baseline,4,persistence,electron_internal_energy,strict_faces,1.3287940370504001,-0.0004928554359855919,0.9900997427985774,0.1077300620160059,0.4539976668061877
baseline,4,persistence,electron_internal_energy,separatrix,0.4111274976187623,-0.01740218658281934,0.9819029094178316,0.20453550010359722,0.0
baseline,4,persistence,ion_internal_energy,strict_faces,1.3351865507813903,-0.00026398201667544304,0.9898945943011287,0.09905646342357198,0.45646630923308473
baseline,4,persistence,ion_internal_energy,separatrix,0.4159790663467458,-0.009435594559153373,0.9903299492750564,0.18119406407319472,0.0
baseline,4,persistence,total_internal_energy,strict_faces,1.3320588656863817,-0.0003748890097986053,0.9899872532815567,0.10329777638606241,0.45531742610231074
baseline,4,persistence,total_internal_energy,separatrix,0.4086909498210988,-0.013812681396818053,0.985811434578918,0.1967183767886855,0.0
1701,4,autoregressive_lead1,particle,strict_faces,1.1047970309528445,-0.0010083861781832897,1.0677612719469796,0.43047187956436417,0.30660232518819164
1701,4,autoregressive_lead1,particle,separatrix,0.3435129679803226,-0.05124141308876888,0.9555173896915093,0.46105597214862554,0.0
1701,4,autoregressive_lead1,electron_internal_energy,strict_faces,1.1094114027796793,-0.001543665563118471,1.0675361593396395,0.42530385465132337,0.3028566164116424
1701,4,autoregressive_lead1,electron_internal_energy,separatrix,0.262883032040932,-0.08135433654448457,0.9029057967759737,0.6634526400820413,0.0
1701,4,autoregressive_lead1,ion_internal_energy,strict_faces,1.1074955322558857,-0.0032701869903256076,1.0679156049921918,0.4276176952796124,0.3039813565444534
1701,4,autoregressive_lead1,ion_internal_energy,separatrix,0.2936463889637144,0.0013347669890392015,0.9949450963332582,0.57023184336686,0.0
1701,4,autoregressive_lead1,total_internal_energy,strict_faces,1.1080090551011756,-0.002448759313762242,1.0678290664652532,0.4269865170100013,0.3034494372370153
1701,4,autoregressive_lead1,total_internal_energy,separatrix,0.26459093107262033,-0.04397884371947076,0.944264120832421,0.6346819368346414,0.0
1702,4,autoregressive_lead1,particle,strict_faces,0.9984555734054428,-0.004287259669544933,0.9006837905817425,0.45195111665674026,0.30004222545445525
1702,4,autoregressive_lead1,particle,separatrix,0.4179792267737581,-0.3101302455692941,0.6847338424287821,0.544478441856037,0.0
1702,4,autoregressive_lead1,electron_internal_energy,strict_faces,1.0107193388440132,-0.007992899472919113,0.908762068478403,0.44221556031759196,0.2966958150450938
1702,4,autoregressive_lead1,electron_internal_energy,separatrix,0.3987071758591808,-0.32378673329751617,0.6574266146667999,0.7068758089435021,0.0
1702,4,autoregressive_lead1,ion_internal_energy,strict_faces,1.0031336554301145,-0.008511877662503227,0.9039056604690254,0.44825551780804096,0.2975127148747543
1702,4,autoregressive_lead1,ion_internal_energy,separatrix,0.37912266425431385,-0.27474797733104467,0.7147636516697661,0.6154812218697918,0.0
1702,4,autoregressive_lead1,total_internal_energy,strict_faces,1.0063874063258964,-0.008286722440951376,0.9062902645687562,0.44581056939949265,0.29711659128553636
1702,4,autoregressive_lead1,total_internal_energy,separatrix,0.38460300409797804,-0.3019495221569199,0.6829079338421772,0.6781277831913695,0.0
1703,4,autoregressive_lead1,particle,strict_faces,1.0342421646382316,-0.002185229623404834,0.962567167139433,0.44498180928666037,0.3008129057718414
